sample,outcome,n,event_rate_pct,aic,status
github_enriched_human_account_linked_no_extreme_pairs,has_human_review,2003,16.525212181727408,1489.8724464718125,ok
github_enriched_human_account_linked_no_extreme_pairs,has_approval,2003,13.130304543185222,1298.820577316747,ok
github_enriched_human_account_linked_no_extreme_pairs,has_changes_requested,2003,0.6989515726410384,159.20263977630466,ok
github_enriched_human_account_linked_no_extreme_pairs,has_human_discussion,2003,28.157763354967546,2034.2813443416103,ok
github_enriched_human_account_linked_no_extreme_pairs_closed_only,merged,1818,76.2926292629263,1799.5689288099436,ok
