agent,prs,share_of_aidev_pop_pct,repositories,authors,top_repo_pr_share_pct,top_10_repo_pr_share_pct,repo_hhi,top_author_pr_share_pct,extreme_pair_pr_share_pct,raw_closed_prs,raw_merge_rate_closed_pct,non_extreme_closed_prs,non_extreme_merge_rate_closed_pct,merge_rate_change_after_excluding_extreme_pairs_pct_points
OpenAI_Codex,21799,64.88570067865223,1248,1284,40.887196660397265,65.45713106105785,0.19556824673846807,40.887196660397265,68.8976558557732,20993,85.7619206402134,6180,77.49190938511326,-8.270011255100144
Copilot,4970,14.793427789022504,1012,1,3.9637826961770624,17.806841046277665,0.0065761976284264955,100.0,7.364185110663985,3891,54.973014649190446,3595,54.965229485396385,-0.007785163794061134
Devin,4827,14.367781878795094,288,1,7.105862854775223,41.9100890822457,0.024793852376116685,100.0,41.9100890822457,4673,55.53177830087738,2705,53.23475046210721,-2.2970278387701697
Cursor,1541,4.586855578045005,327,363,5.580791693705386,31.602855288773522,0.01540880648811356,5.580791693705386,7.268007787151201,1347,74.61024498886414,1267,73.32280978689818,-1.2874352019659625
Claude_Code,459,1.3662340754851767,213,236,6.1002178649237475,27.450980392156865,0.012687427912341408,6.1002178649237475,0.6535947712418301,380,71.3157894736842,377,71.08753315649867,-0.22825631718554007
