agent,prs,unique_authors,median_account_age_years,mean_account_age_years,median_followers,mean_followers,merged_rate
Claude_Code,5121,1641,10.493791764899738,9.21292616716503,9.0,84.12458504198399,76.9966803358719
Copilot,608,378,5.676899526579968,6.2436710329203375,2.0,47.5641447368421,78.45394736842105
OpenAI_Codex,813990,61636,4.664764921920551,5.608473319820714,0.0,18.85708546788044,87.6573422277915
Cursor,32916,9655,3.5030029691738283,4.812693404953479,0.0,104.79104386924293,70.54016283874104
Devin,29744,1,1.2424295890688772,1.2291548344301333,0.0,0.0,64.44997310381926
