agent,prs,authors,user,top_author_prs,top_author_pr_share_pct
Devin,29744,1,devin-ai-integration[bot],29744,100.0
Claude_Code,5121,1641,randallb,508,9.919937512204648
Cursor,32916,9655,cursor[bot],2395,7.276096731073034
Copilot,608,378,GaryOcean428,14,2.302631578947368
OpenAI_Codex,813990,61636,tamnd,8913,1.094976596764088
