sample,outcome,term,effect,coef_log_hours,duration_ratio,ci_low,ci_high,p_value,n,median_hours,aic
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,"C(agent, Treatment(reference='OpenAI_Codex'))[T.Claude_Code]",agent=Claude_Code vs OpenAI_Codex,0.2083920395062418,1.23169594837994,0.771108930458317,1.9673937745136343,0.38312930571537995,1429,3.5980555555555553,5748.503834982582
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,"C(agent, Treatment(reference='OpenAI_Codex'))[T.Cursor]",agent=Cursor vs OpenAI_Codex,-0.2049567347924732,0.8146825630590915,0.5917992441771792,1.1215081551436092,0.20883119315927468,1429,3.5980555555555553,5748.503834982582
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,C(task_category)[T.ci_build],C(task_category)[T.ci_build],-0.6625598851437714,0.5155299464613787,0.3622295132570379,0.7337091980958519,0.0002336032835211423,1429,3.5980555555555553,5748.503834982582
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,C(task_category)[T.dependency],C(task_category)[T.dependency],-0.6651981988558814,0.5141716093822117,0.3401184796092053,0.7772951478509974,0.0016060519179268934,1429,3.5980555555555553,5748.503834982582
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,C(task_category)[T.docs],C(task_category)[T.docs],-0.3031386079832947,0.7384967277339904,0.5123888255779135,1.0643819491158706,0.104075280144051,1429,3.5980555555555553,5748.503834982582
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,C(task_category)[T.feature],C(task_category)[T.feature],-0.0864887738673803,0.9171458447277983,0.7073490791370285,1.1891674497232458,0.5139965266840993,1429,3.5980555555555553,5748.503834982582
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,C(task_category)[T.other],C(task_category)[T.other],-0.24245104610620224,0.7847021608647207,0.4952183078501957,1.2434061332240358,0.301909312589156,1429,3.5980555555555553,5748.503834982582
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,C(task_category)[T.performance],C(task_category)[T.performance],0.19354132264325394,1.2135395321765805,0.3955407430034533,3.723202279929217,0.7350798293676319,1429,3.5980555555555553,5748.503834982582
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,C(task_category)[T.refactor],C(task_category)[T.refactor],-0.44331357908545627,0.6419058872635246,0.4207553488918556,0.9792939511969887,0.039681192878769374,1429,3.5980555555555553,5748.503834982582
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,C(task_category)[T.security],C(task_category)[T.security],-0.04951687900321648,0.9516890944376069,0.4424727034605092,2.0469333484032814,0.8991603953869115,1429,3.5980555555555553,5748.503834982582
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,C(task_category)[T.test],C(task_category)[T.test],0.07671690374197344,1.07973636379735,0.662416653305749,1.7599657398229926,0.7582684250334543,1429,3.5980555555555553,5748.503834982582
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,C(created_month)[T.2025-03],C(created_month)[T.2025-03],0.18874408724133343,1.2077318389449059,0.18511142152664803,7.879666110128523,0.8436398054850389,1429,3.5980555555555553,5748.503834982582
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,C(created_month)[T.2025-04],C(created_month)[T.2025-04],1.4716239470014356,4.356303806444124,0.24870263303752108,76.30551644049743,0.31373897590612676,1429,3.5980555555555553,5748.503834982582
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,C(created_month)[T.2025-05],C(created_month)[T.2025-05],-0.18326476117563142,0.8325477002464649,0.18161393838978415,3.8165334628559897,0.8135055442713905,1429,3.5980555555555553,5748.503834982582
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,C(created_month)[T.2025-06],C(created_month)[T.2025-06],-0.4185926028991278,0.6579721966379845,0.1460174801603098,2.9649012643781534,0.5857701364950056,1429,3.5980555555555553,5748.503834982582
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,C(created_month)[T.2025-07],C(created_month)[T.2025-07],-0.429506838828324,0.6508299796681504,0.14260976357044833,2.970201000477778,0.5792316289813175,1429,3.5980555555555553,5748.503834982582
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,account_age_z,"account age, per SD",0.03950249350911644,1.0402930928620346,0.9010535139126729,1.2010493298640443,0.5900171314397298,1429,3.5980555555555553,5748.503834982582
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,log_followers_z,"followers, log1p per SD",-0.17260201233664288,0.8414724438630068,0.7312790101665496,0.9682704739734236,0.015943029856377234,1429,3.5980555555555553,5748.503834982582
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,log_repo_stars_z,"repo stars, log1p per SD",-0.06453116420777408,0.9375068971470557,0.7258238928082077,1.2109262190278245,0.6211519047558629,1429,3.5980555555555553,5748.503834982582
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,log_repo_forks_z,"repo forks, log1p per SD",0.21957655809186816,1.245549201175815,0.9826083218954629,1.5788516929686243,0.06953228302241583,1429,3.5980555555555553,5748.503834982582
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,log_prior_repo_prs_z,"prior observed author-repo PRs, log1p per SD",-0.0891635758011876,0.9146959392154054,0.7326570624777617,1.1419649165567798,0.43098883430065327,1429,3.5980555555555553,5748.503834982582
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,prior_repo_merge_rate_z,"prior observed author-repo merge rate, per SD",-0.0954042396499254,0.9090054041617164,0.7993966671967965,1.0336430694572663,0.14560366813103492,1429,3.5980555555555553,5748.503834982582
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,log_timeline_commits_z,"timeline commits, log1p per SD",0.4305252490248832,1.5380651786549797,1.3269316943812532,1.7827929680239283,1.0987839357448733e-08,1429,3.5980555555555553,5748.503834982582
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,log_timeline_events_z,"timeline events, log1p per SD",-0.014275188040185205,0.985826219346623,0.8425848352545252,1.1534189722957473,0.8585637503335395,1429,3.5980555555555553,5748.503834982582
duration_github_enriched_human_account_linked_no_extreme_pairs,log_review_latency_hours,"C(agent, Treatment(reference='OpenAI_Codex'))[T.Claude_Code]",agent=Claude_Code vs OpenAI_Codex,-0.2867876851273361,0.7506710905560416,0.3427601235476139,1.6440275501252068,0.47336552387225306,331,3.4558333333333335,1344.5332897984915
duration_github_enriched_human_account_linked_no_extreme_pairs,log_review_latency_hours,"C(agent, Treatment(reference='OpenAI_Codex'))[T.Cursor]",agent=Cursor vs OpenAI_Codex,-0.32358707257536545,0.7235489539086414,0.4264322629790104,1.2276817073947752,0.23031465309755716,331,3.4558333333333335,1344.5332897984915
duration_github_enriched_human_account_linked_no_extreme_pairs,log_review_latency_hours,"C(author_association, Treatment(reference='CONTRIBUTOR'))[T.COLLABORATOR]",author_association=COLLABORATOR vs CONTRIBUTOR,0.4123818310591472,1.510411048087839,0.7798454129481697,2.9253766147848426,0.22144404510694005,331,3.4558333333333335,1344.5332897984915
duration_github_enriched_human_account_linked_no_extreme_pairs,log_review_latency_hours,"C(author_association, Treatment(reference='CONTRIBUTOR'))[T.MEMBER]",author_association=MEMBER vs CONTRIBUTOR,-0.01213283743604384,0.9879404686662308,0.5959320256007673,1.6378149314001138,0.9624791393268799,331,3.4558333333333335,1344.5332897984915
