sample,outcome,n,event_rate_pct,aic,status
all_valid_accounts,has_human_review,28625,12.090829694323144,11315.155560092811,ok
all_valid_accounts,has_approval,28625,9.103930131004368,9561.87628181634,ok
all_valid_accounts,has_changes_requested,28625,1.0969432314410479,2466.392409259453,ok
all_valid_accounts,has_human_discussion,28625,18.18689956331878,14246.899969787628,ok
all_valid_accounts_closed_only,merged,27392,79.85543224299066,20229.726487301326,ok
all_valid_accounts_no_extreme_pairs,has_human_review,11468,21.1545169166376,8183.153068745802,ok
all_valid_accounts_no_extreme_pairs,has_approval,11468,16.192884548308335,7270.452289563448,ok
all_valid_accounts_no_extreme_pairs,has_changes_requested,11468,2.3107778165329615,1992.5631973145928,ok
all_valid_accounts_no_extreme_pairs,has_human_discussion,11468,32.054412277642136,10179.018454485169,ok
all_valid_accounts_no_extreme_pairs_closed_only,merged,10528,70.52621580547113,10494.634926495246,ok
human_account_linked,has_human_review,23798,7.067820825279434,6579.539369941192,ok
human_account_linked,has_approval,23798,5.197915791242962,5148.794274881147,ok
human_account_linked,has_changes_requested,23798,0.382385074375998,864.0827726277156,ok
human_account_linked,has_human_discussion,23798,11.551390873182621,8783.201728575557,ok
human_account_linked_closed_only,merged,22719,84.85848848981028,14455.868560089406,ok
human_account_linked_no_extreme_pairs,has_human_review,8664,16.49353647276085,5159.885441377866,ok
human_account_linked_no_extreme_pairs,has_approval,8664,12.938596491228072,4461.735925729741,ok
human_account_linked_no_extreme_pairs,has_changes_requested,8664,0.9695290858725761,786.453355345457,ok
human_account_linked_no_extreme_pairs,has_human_discussion,8664,27.40073868882733,7061.628367809581,ok
human_account_linked_no_extreme_pairs_closed_only,merged,7823,76.50517704205548,7218.199672256724,ok
