id,agent,user,user_id,repo_id,html_url,api_url,status,http_status,additions,deletions,changed_files,commits,author_association,draft,maintainer_can_modify,github_merged,github_state,rate_limit_remaining,rate_limit_reset,fetched_at,error
3119064678,OpenAI_Codex,joewandy,2523391,69615317,https://github.com/joewandy/hlda/pull/35,https://api.github.com/repos/joewandy/hlda/pulls/35,ok,200,4682,723,6,1,OWNER,False,False,True,closed,4378,1780523753,2026-06-03T21:13:45.952901+00:00,
3108844574,OpenAI_Codex,kenkendk,1510755,22636263,https://github.com/duplicati/duplicati/pull/6319,https://api.github.com/repos/duplicati/duplicati/pulls/6319,ok,200,127,2,3,3,MEMBER,False,False,True,closed,4377,1780523753,2026-06-03T21:13:46.956913+00:00,
3246809242,OpenAI_Codex,transphorm,23852,669466632,https://github.com/selfxyz/self/pull/776,https://api.github.com/repos/selfxyz/self/pulls/776,ok,200,832,168,30,4,MEMBER,True,False,False,closed,4376,1780523753,2026-06-03T21:13:48.220183+00:00,
3176553087,OpenAI_Codex,MrFlounder,13774166,633927609,https://github.com/promptfoo/promptfoo/pull/4636,https://api.github.com/repos/promptfoo/promptfoo/pulls/4636,ok,200,8,0,1,2,CONTRIBUTOR,False,False,True,closed,4375,1780523753,2026-06-03T21:13:49.226590+00:00,
3157127873,OpenAI_Codex,scosman,848343,832879402,https://github.com/Kiln-AI/Kiln/pull/371,https://api.github.com/repos/Kiln-AI/Kiln/pulls/371,ok,200,26,2,3,3,COLLABORATOR,False,False,False,closed,4374,1780523753,2026-06-03T21:13:50.366201+00:00,
3130710956,OpenAI_Codex,alehander92,830715,921671178,https://github.com/metacraft-labs/codetracer/pull/214,https://api.github.com/repos/metacraft-labs/codetracer/pulls/214,ok,200,113,11,6,1,CONTRIBUTOR,False,False,True,closed,4373,1780523753,2026-06-03T21:13:51.511969+00:00,
3135026305,OpenAI_Codex,lukaszsamson,1078186,126746886,https://github.com/elixir-lsp/elixir-ls/pull/1187,https://api.github.com/repos/elixir-lsp/elixir-ls/pulls/1187,ok,200,1,0,1,2,COLLABORATOR,False,False,True,closed,4372,1780523753,2026-06-03T21:13:52.465801+00:00,
3213577327,OpenAI_Codex,jscarle,29762210,744218577,https://github.com/jscarle/LightResults/pull/52,https://api.github.com/repos/jscarle/LightResults/pulls/52,ok,200,5,1,1,2,OWNER,False,False,True,closed,4371,1780523753,2026-06-03T21:13:53.746988+00:00,
3130282110,OpenAI_Codex,scosman,848343,832879402,https://github.com/Kiln-AI/Kiln/pull/350,https://api.github.com/repos/Kiln-AI/Kiln/pulls/350,ok,200,147,146,8,4,COLLABORATOR,False,False,True,closed,4370,1780523753,2026-06-03T21:13:54.990610+00:00,
3162136459,OpenAI_Codex,shinnku-nikaidou,74663709,360211540,https://github.com/shinnku-nikaidou/shinnku-com/pull/177,https://api.github.com/repos/shinnku-nikaidou/shinnku-com/pulls/177,ok,200,23,2,3,1,OWNER,False,False,False,closed,4369,1780523753,2026-06-03T21:13:56.020983+00:00,
3176619382,Cursor,sfanahata,15026018,873328,https://github.com/getsentry/sentry/pull/94342,https://api.github.com/repos/getsentry/sentry/pulls/94342,ok,200,1,0,1,1,CONTRIBUTOR,False,False,False,closed,4368,1780523753,2026-06-03T21:13:57.516712+00:00,
3071362457,OpenAI_Codex,mldangelo,7235481,633927609,https://github.com/promptfoo/promptfoo/pull/4066,https://api.github.com/repos/promptfoo/promptfoo/pulls/4066,ok,200,8,5,2,3,MEMBER,False,False,True,closed,4367,1780523753,2026-06-03T21:13:58.760283+00:00,
3245353274,OpenAI_Codex,mikasoukhov,6942548,27703983,https://github.com/StockSharp/StockSharp/pull/482,https://api.github.com/repos/StockSharp/StockSharp/pulls/482,ok,200,45,0,1,1,CONTRIBUTOR,False,False,True,closed,4366,1780523753,2026-06-03T21:13:59.977598+00:00,
3088176007,Claude_Code,jxnl,4852235,912106066,https://github.com/567-labs/kura/pull/55,https://api.github.com/repos/jxnl/kura/pulls/55,ok,200,0,17383,85,2,OWNER,False,False,False,closed,4364,1780523753,2026-06-03T21:14:01.457648+00:00,
3177001461,OpenAI_Codex,noahho,12981296,509436902,https://github.com/PriorLabs/TabPFN/pull/345,https://api.github.com/repos/PriorLabs/TabPFN/pulls/345,ok,200,2,2,1,1,COLLABORATOR,False,False,True,closed,4363,1780523753,2026-06-03T21:14:02.644143+00:00,
3192132355,OpenAI_Codex,ReneWerner87,7063188,234231371,https://github.com/gofiber/fiber/pull/3559,https://api.github.com/repos/gofiber/fiber/pulls/3559,ok,200,76,86,15,1,MEMBER,False,False,True,closed,4362,1780523753,2026-06-03T21:14:04.076682+00:00,
