agent,n,repos,vader_centered,textblob_centered,senticr_centered
Claude_Code,81,7,0.09971433102574596,0.03667082755416224,-0.06505821560055451
Cursor,147,5,0.072904654708441,0.004213015594832909,-0.012495096312540066
Copilot,390,8,-0.0028043642836454966,0.0010472000289765957,-0.004372747247717009
Devin,730,8,-0.008995149871204408,-0.005470050704968405,0.004872650005964144
OpenAI_Codex,493,12,-0.022583536670639538,-9.982395540602747e-06,0.010658887512868377
