agent,vader_mean,vader_sd,textblob_mean,textblob_sd,senticr_negative_share,senticr_negative_sd
Claude_Code,0.2692557603686636,9.298095001119738e-18,0.11852499394471208,1.7919737071158015e-17,0.2465437788018433,0.0
Cursor,0.14725039815668203,0.011069148163659991,0.09537493768980027,0.0063224348505387055,0.20154377880184332,0.010616986255691479
Devin,0.14025175806451615,0.017781659914751148,0.06775684081154067,0.0101223548319939,0.2228847926267281,0.018291246832297693
OpenAI_Codex,0.1185378069124424,0.019896121865158913,0.0813766479742507,0.008298292359667822,0.17691705069124425,0.0162211980255022
Copilot,0.08009521474654377,0.01779787678127702,0.04739067254989247,0.009920454882800843,0.25104147465437787,0.020584345424298777
