agent,repo_agent_cells,comments,vader_repo_avg,textblob_repo_avg,senticr_negative_repo_avg
Claude_Code,92,434,0.3035892113644075,0.1326284307250267,0.2588867352454309
Cursor,102,617,0.23310863040194335,0.09632250144288292,0.18705130603283757
OpenAI_Codex,263,1720,0.2161511222207955,0.10928911818649228,0.18919376614706335
Copilot,686,13957,0.10792758492881122,0.05855323858749042,0.22685314859754996
Devin,167,5194,0.09284022613755998,0.052915597041800516,0.2148698046861196
