agent,n,vader_mean,textblob_mean,senticr_negative_share,vader_positive,vader_negative
Claude_Code,434,0.2692557603686636,0.11852499394471208,0.2465437788018433,0.5783410138248848,0.1336405529953917
Copilot,13957,0.08045744071075446,0.04755676453104114,0.24940889876047861,0.365766282152325,0.20627642043419073
Cursor,617,0.14733727714748784,0.09544226158307832,0.20097244732576985,0.4846029173419773,0.22042139384116693
Devin,5194,0.14081370812475932,0.06800481863006819,0.22256449749711205,0.3904505198305737,0.16653831343858297
OpenAI_Codex,1720,0.11870174418604651,0.08108637337019334,0.17790697674418604,0.4982558139534884,0.23313953488372094
