pr_id,agent,n_discussion_items,vader_mean,textblob_mean,senticr_negative_share,merged,repo_id,log_discussion_items
2758636941.0,Devin,1,0.3182,0.0,0.0,0,848388909,0.6931471805599453
2760115428.0,Devin,1,0.0,0.0,0.0,0,350360184,0.6931471805599453
2760243902.0,Devin,1,-0.7506,-0.7249999999999999,0.0,1,679017521,0.6931471805599453
2760266883.0,Devin,1,0.0,0.0,0.0,0,350360184,0.6931471805599453
2760305985.0,Devin,1,-0.3612,-0.3,0.0,0,350360184,0.6931471805599453
2761264439.0,Devin,1,0.9947,0.24554545454545454,0.0,1,710601088,0.6931471805599453
2761288801.0,Devin,2,0.2202,0.125,0.0,0,350360184,1.0986122886681098
2761311271.0,Devin,1,0.4404,0.2,0.0,1,879473096,0.6931471805599453
2761325861.0,Devin,1,-0.7396,0.10869565217391304,1.0,1,710601088,0.6931471805599453
2761376844.0,Devin,1,0.9963,0.16851851851851854,0.0,1,742063678,0.6931471805599453
2761404412.0,Devin,1,0.9966,0.2216750841750842,0.0,1,710601088,0.6931471805599453
2761413721.0,Devin,1,0.9955,0.24959830866807614,1.0,0,742063678,0.6931471805599453
2761443934.0,Devin,1,0.9982,0.27947601010101003,0.0,0,710601088,0.6931471805599453
2761455933.0,Devin,1,0.9963,0.21956521739130433,0.0,1,710601088,0.6931471805599453
2761577144.0,Devin,3,0.4650666666666667,0.1271076146076146,0.0,1,762304524,1.3862943611198906
2761977984.0,Devin,1,0.9929,0.14819347319347315,0.0,1,742063678,0.6931471805599453
2762078403.0,Devin,1,0.998,0.09375573921028466,0.0,1,710601088,0.6931471805599453
2762228850.0,Devin,5,0.539,0.326125,0.0,0,762304524,1.791759469228055
2762247476.0,Devin,3,0.6568999999999999,0.31344696969696967,0.3333333333333333,1,762304524,1.3862943611198906
2762297369.0,Devin,1,0.9896,0.04902248289345064,0.0,0,710601088,0.6931471805599453
2762301500.0,Devin,1,0.9963,0.2267241379310345,0.0,0,742063678,0.6931471805599453
2762310020.0,Devin,1,0.9954,0.22362012987012983,0.0,0,710601088,0.6931471805599453
2763242692.0,Devin,1,0.9834,0.12485795454545452,0.0,1,710601088,0.6931471805599453
2763308355.0,Devin,1,0.9828,0.1174,1.0,0,742063678,0.6931471805599453
2763395657.0,Devin,1,0.9944,0.2158357771260997,0.0,1,710601088,0.6931471805599453
2763461870.0,Devin,1,0.9943,0.19400826446280986,0.0,0,710601088,0.6931471805599453
2763610953.0,Devin,1,0.9927,0.10696097883597883,0.0,0,710601088,0.6931471805599453
2763620087.0,Devin,1,0.9954,0.18791486291486292,0.0,1,710601088,0.6931471805599453
2763678225.0,Devin,1,0.9955,0.15815656565656563,0.0,0,710601088,0.6931471805599453
2763878383.0,Devin,1,0.9979,0.3009022038567493,0.0,1,710601088,0.6931471805599453
2763926843.0,Devin,1,0.9971,0.13013468013468013,0.0,0,710601088,0.6931471805599453
2763955999.0,Devin,2,0.6346,0.09113113897596657,0.5,0,710601088,1.0986122886681098
2764665933.0,Devin,1,0.9926,0.12524242424242424,0.0,0,710601088,0.6931471805599453
2765771643.0,Devin,1,-0.2263,-0.07142857142857142,0.0,0,643971174,0.6931471805599453
2766513428.0,Devin,7,0.013085714285714287,-0.15625,0.14285714285714285,1,526617419,2.0794415416798357
2766783930.0,Devin,1,0.7971,0.2333333333333333,0.0,0,526617419,0.6931471805599453
2767657628.0,Devin,8,0.079075,0.028958333333333336,0.125,0,164272151,2.1972245773362196
2767878178.0,Devin,5,0.07912,0.016151742993848254,0.0,0,762304524,1.791759469228055
2768057346.0,Devin,9,0.07603333333333334,0.13425925925925927,0.5555555555555556,1,894659403,2.302585092994046
2768057378.0,Devin,8,0.17181249999999998,0.13125,0.5,1,894659403,2.1972245773362196
2768132850.0,Devin,16,0.15310625,0.063125,0.4375,1,894659403,2.833213344056216
2768257624.0,Devin,1,0.9967,0.1925579322638146,0.0,1,742063678,0.6931471805599453
2768570229.0,Devin,27,-0.03936296296296296,0.028584455667789,0.2222222222222222,0,164272151,3.332204510175204
2768602796.0,Devin,1,-0.5096,0.8,0.0,0,778399384,0.6931471805599453
2768662452.0,Devin,6,-0.14429999999999998,0.03333333333333333,0.3333333333333333,1,894659403,1.9459101490553132
2768801424.0,Devin,9,0.06711111111111111,-0.03968253968253968,0.2222222222222222,0,492128644,2.302585092994046
2768814420.0,Devin,5,0.0,0.0,0.4,1,894659403,1.791759469228055
2768952674.0,Devin,4,-0.0536,0.0,0.25,1,492128644,1.6094379124341003
2768982424.0,Devin,3,0.12040000000000001,0.0,0.0,1,886899801,1.3862943611198906
2769791644.0,Devin,6,0.327,0.2449786324786325,0.0,0,762304524,1.9459101490553132
2769930216.0,Devin,4,0.393375,0.2583667557932264,0.25,0,762304524,1.6094379124341003
2769964943.0,Devin,4,0.189425,0.09763986013986015,0.5,0,762304524,1.6094379124341003
2769973551.0,Devin,2,0.14684999999999998,0.2784090909090909,0.0,0,762304524,1.0986122886681098
2770730384.0,Devin,1,0.4404,0.7,0.0,0,762304524,0.6931471805599453
2770799696.0,Devin,2,0.0,0.06818181818181818,0.0,1,44164233,1.0986122886681098
2771402284.0,Devin,3,0.10606666666666666,0.0625,0.3333333333333333,0,95743138,1.3862943611198906
2771417743.0,Devin,3,0.17253333333333334,0.041666666666666664,0.0,1,886899801,1.3862943611198906
2771428959.0,Devin,1,0.0,0.0,0.0,0,95743138,0.6931471805599453
2771538261.0,Devin,6,-0.16193333333333335,0.16134259259259257,0.3333333333333333,0,879473096,1.9459101490553132
2771599553.0,Devin,6,0.0929,0.0625,0.5,1,879473096,1.9459101490553132
2771851179.0,Devin,2,-0.01090000000000002,0.0,0.0,1,178976529,1.0986122886681098
2772459642.0,Devin,3,0.09866666666666667,0.05555555555555555,0.3333333333333333,0,275993885,1.3862943611198906
2773663616.0,Devin,1,0.0088,0.2464285714285714,0.0,0,606929732,0.6931471805599453
2773814208.0,Devin,1,0.0,0.0,0.0,1,879473096,0.6931471805599453
2773911009.0,Devin,1,0.4278,0.0,0.0,1,879473096,0.6931471805599453
2773964481.0,Devin,8,0.1575,0.025,0.75,0,879473096,2.1972245773362196
2775913494.0,Devin,1,0.3818,0.09999999999999999,0.0,0,275993885,0.6931471805599453
2776299690.0,Devin,12,0.06109999999999999,0.16979166666666667,0.16666666666666666,0,95743138,2.5649493574615367
2776603613.0,Devin,1,0.0,0.25,0.0,1,886899801,0.6931471805599453
2776604195.0,Devin,3,0.02569999999999999,0.041666666666666664,0.6666666666666666,0,95743138,1.3862943611198906
2777165355.0,Devin,1,0.0,0.0,1.0,0,894659403,0.6931471805599453
2777165691.0,Devin,2,-0.08399999999999999,0.08750000000000001,1.0,1,894659403,1.0986122886681098
2777500617.0,Devin,5,0.08344,0.0,0.2,1,886899801,1.791759469228055
2778132201.0,Devin,10,0.35469,0.01999999999999999,0.1,0,492128644,2.3978952727983707
2780834098.0,Devin,2,0.0,0.0,0.0,1,886899801,1.0986122886681098
2780883677.0,Devin,23,0.04800869565217391,0.0588768115942029,0.13043478260869565,0,95743138,3.1780538303479458
2780910368.0,Devin,1,0.0,0.0,0.0,1,492128644,0.6931471805599453
2781992674.0,Devin,8,-0.0502375,-0.028125,0.375,1,492128644,2.1972245773362196
2782566930.0,Devin,4,-0.14415,-0.011249999999999998,0.25,1,425803244,1.6094379124341003
2783286259.0,Devin,1,0.3182,0.0,1.0,0,430749584,0.6931471805599453
2783421768.0,Devin,13,0.3948846153846154,0.06913919413919413,0.23076923076923078,1,121522380,2.6390573296152584
2783423999.0,Devin,6,0.22955,0.0037732589048378555,0.0,1,782544882,1.9459101490553132
2783583943.0,Devin,5,0.15802,0.255,0.0,1,349372179,1.791759469228055
2784993744.0,Devin,2,0.9927,0.09635491822991821,0.5,1,710601088,1.0986122886681098
2785589564.0,Devin,6,0.13448333333333334,0.2982142857142857,0.16666666666666666,0,95743138,1.9459101490553132
2786715226.0,Devin,4,0.23952500000000002,0.016406190736947903,1.0,1,710601088,1.6094379124341003
2788022491.0,Devin,1,0.0,0.25,0.0,1,894659403,0.6931471805599453
2788840620.0,Devin,1,0.0,0.0,0.0,1,886899801,0.6931471805599453
2790117302.0,Devin,1,-0.5096,0.4,0.0,0,349372179,0.6931471805599453
2790183982.0,Devin,1,0.7096,0.1944151515151515,0.0,1,710601088,0.6931471805599453
2791677300.0,Devin,4,-0.037775,-0.15625,0.0,1,633927609,1.6094379124341003
2791971139.0,Devin,2,0.0,0.0,0.0,1,275993885,1.0986122886681098
