agent,n,repos,vader_mean,textblob_mean,senticr_negative_share
Claude_Code,81,7,0.2930925925925926,0.13901253749386985,0.25925925925925924
Devin,730,8,0.16417739726027397,0.0987840166038156,0.1780821917808219
Copilot,390,8,0.06505512820512821,0.05771421544695536,0.19743589743589743
OpenAI_Codex,493,12,0.013261257606490873,0.05684451998553248,0.11156186612576065
Cursor,147,5,-0.06350680272108844,0.07599101437111641,0.19727891156462585
