agent,prs_with_discussion,merge_rate,vader_pr_mean,textblob_pr_mean,senticr_negative_pr_mean
Claude_Code,124,0.46774193548387094,0.2896330675446334,0.12054683563170537,0.24405062217237034
Devin,1726,0.5504055619930475,0.22485616662015295,0.08187043792645092,0.18793811940248367
Cursor,278,0.564748201438849,0.17529251215311467,0.10904224293905801,0.14847822042066647
Copilot,2927,0.5186197471814145,0.09582151295947713,0.05685139171585469,0.2331841550070387
OpenAI_Codex,916,0.5917030567685589,0.09558862853963956,0.08211092795321183,0.12934530225975852
