method,agent,mean_rank,top1_share,bottom_share
SentiCR downsample,Claude_Code,4.304,0.0,0.374
SentiCR downsample,Copilot,4.41,0.0,0.56
SentiCR downsample,Cursor,2.058,0.092,0.0
SentiCR downsample,Devin,3.08,0.026,0.066
SentiCR downsample,OpenAI_Codex,1.148,0.882,0.0
VADER downsample,Claude_Code,1.0,1.0,0.0
VADER downsample,Copilot,4.92,0.0,0.922
VADER downsample,Cursor,2.48,0.0,0.0
VADER downsample,Devin,2.844,0.0,0.006
VADER downsample,OpenAI_Codex,3.756,0.0,0.072
